ProjectName,PLC_Name,BlockName,BlockType,Language,AttributeName,AttributeValue,InterfaceSection,InterfaceName,InterfaceDataType,InitialValue,Comment,SourceReference
P24U1_OP6020,PC-System_1,PR_ABB_AGV_StnInterface,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Station_eCart,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_TrackRotate_table,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,rotviscopy,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,DB_BTLOGS,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Braketest_Cart,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Braketest_Shuttle,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,brktestneeded,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,log_brktest,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Braketest_Rotate,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_TR_IDeviceMap,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_iDevice_eCart,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Shuttle_carriage,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,shviscopy,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_eCart_Comms,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,locatecolor,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,stopcolor,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,stopviscopy,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FB_ValueFunction,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,S1_Comm,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,S1_GigECamera,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,S1_GigE_Camera-1_HMIControl,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_GigE_Camera-1_Interface,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_GigE_Camera-1_OPCIntfc,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_LJx8000 Camera,,LAD,,,,,,,,
